# Expected readings, exported from opentorah — the oracle for the Java port.
#
# opentorah c2a9bfa14783e12802e411de076b33d8b39aaa6b  (Apache 2.0; see opentorah/LICENSE.md)
# generated 2026-09-03 over Jewish years 5780-5860, both locations
#
# date<TAB>situation<TAB>customs<TAB>kind<TAB>value
#
# date is Gregorian yyyy-mm-dd — deliberately, so no consumer has to
# translate month numbering: opentorah counts Jewish months from Tishrei
# and this library counts them from Nisan. It is the first date on which
# the situation occurs. The situation names everything that determines
# the reading — location, day of week, the week's parsha, and what else
# applies — because readings are a function of the combination, and
# combinations are where the bugs are. Customs are those reading the same
# thing; ALL is every custom. Spans are book:fromCh:fromV:toCh:toV, torah
# aliyot prefixed by number, '-' means nothing is read.
2019-10-09	EY|Wednesday|Haazinu|YomKippur|afternoon	Agadir+Algeria+Algiers+Ashkenaz+Baladi+Bavlim+Chabad+ChayeyOdom+Djerba+Fes+Frankfurt+Hagra+Libya+Lita+Magreb+Marrakesh+Morocco+Persia+Poznan+PureSephardim+Romania+Sefard+Shami+Teiman+Toshbim	haftarah	Jonah:1:1:4:11 Micah:7:18:7:20
2019-10-09	EY|Wednesday|Haazinu|YomKippur|afternoon	Italki	haftarah	Obadiah:1:21:1:21 Jonah:1:1:4:11 Micah:7:18:7:20
2019-10-09	EY|Wednesday|Haazinu|YomKippur|morning	ALL	maftir	Numbers:29:7:29:11
2019-10-09	EY|Wednesday|Haazinu|YomKippur|morning	ALL	torah	1:Leviticus:16:1:16:6 2:Leviticus:16:7:16:11 3:Leviticus:16:12:16:17 4:Leviticus:16:18:16:24 5:Leviticus:16:25:16:30 6:Leviticus:16:31:16:34
2019-10-09	EY|Wednesday|Haazinu|YomKippur|morning	Agadir+Algeria+Algiers+Ashkenaz+Bavlim+Chabad+ChayeyOdom+Djerba+Fes+Frankfurt+Hagra+Libya+Lita+Magreb+Marrakesh+Morocco+Persia+Poznan+PureSephardim+Romania+Sefard+Toshbim	haftarah	Isaiah:57:14:58:14
2019-10-09	EY|Wednesday|Haazinu|YomKippur|morning	Baladi+Italki+Shami+Teiman	haftarah	Isaiah:57:14:58:14 Isaiah:59:20:59:21
2019-10-09	chul|Wednesday|Haazinu|YomKippur|afternoon	ALL	maftir	-
2019-10-09	chul|Wednesday|Haazinu|YomKippur|afternoon	ALL	torah	1:Leviticus:18:1:18:5 2:Leviticus:18:6:18:21 3:Leviticus:18:22:18:30
2019-10-09	chul|Wednesday|Haazinu|YomKippur|afternoon	Agadir+Algeria+Algiers+Ashkenaz+Baladi+Bavlim+Chabad+ChayeyOdom+Djerba+Fes+Frankfurt+Hagra+Libya+Lita+Magreb+Marrakesh+Morocco+Persia+Poznan+PureSephardim+Romania+Sefard+Shami+Teiman+Toshbim	haftarah	Jonah:1:1:4:11 Micah:7:18:7:20
2019-10-09	chul|Wednesday|Haazinu|YomKippur|afternoon	Italki	haftarah	Obadiah:1:21:1:21 Jonah:1:1:4:11 Micah:7:18:7:20
2019-10-09	chul|Wednesday|Haazinu|YomKippur|morning	ALL	maftir	Numbers:29:7:29:11
2019-10-09	chul|Wednesday|Haazinu|YomKippur|morning	ALL	torah	1:Leviticus:16:1:16:6 2:Leviticus:16:7:16:11 3:Leviticus:16:12:16:17 4:Leviticus:16:18:16:24 5:Leviticus:16:25:16:30 6:Leviticus:16:31:16:34
2019-10-09	chul|Wednesday|Haazinu|YomKippur|morning	Agadir+Algeria+Algiers+Ashkenaz+Bavlim+Chabad+ChayeyOdom+Djerba+Fes+Frankfurt+Hagra+Libya+Lita+Magreb+Marrakesh+Morocco+Persia+Poznan+PureSephardim+Romania+Sefard+Toshbim	haftarah	Isaiah:57:14:58:14
2019-10-09	chul|Wednesday|Haazinu|YomKippur|morning	Baladi+Italki+Shami+Teiman	haftarah	Isaiah:57:14:58:14 Isaiah:59:20:59:21
2019-10-10	EY|Thursday|Haazinu|-|morning	ALL	haftarah	-
2019-10-10	EY|Thursday|Haazinu|-|morning	ALL	maftir	-
2019-10-10	EY|Thursday|Haazinu|-|morning	ALL	torah	1:Deuteronomy:32:1:32:3 2:Deuteronomy:32:4:32:6 3:Deuteronomy:32:7:32:12
2019-10-10	chul|Thursday|Haazinu|-|morning	ALL	haftarah	-
2019-10-10	chul|Thursday|Haazinu|-|morning	ALL	maftir	-
2019-10-10	chul|Thursday|Haazinu|-|morning	ALL	torah	1:Deuteronomy:32:1:32:3 2:Deuteronomy:32:4:32:6 3:Deuteronomy:32:7:32:12
2019-10-12	EY|shabbos|Haazinu|-|afternoon	ALL	haftarah	-
2019-10-12	EY|shabbos|Haazinu|-|afternoon	ALL	maftir	-
2019-10-12	EY|shabbos|Haazinu|-|afternoon	ALL	torah	1:Genesis:1:1:1:5 2:Genesis:1:6:1:8 3:Genesis:1:9:1:13
2019-10-12	EY|shabbos|Haazinu|-|morning	ALL	maftir	Deuteronomy:32:48:32:52
2019-10-12	EY|shabbos|Haazinu|-|morning	ALL	torah	1:Deuteronomy:32:1:32:6 2:Deuteronomy:32:7:32:12 3:Deuteronomy:32:13:32:18 4:Deuteronomy:32:19:32:28 5:Deuteronomy:32:29:32:39 6:Deuteronomy:32:40:32:43 7:Deuteronomy:32:44:32:52
2019-10-12	EY|shabbos|Haazinu|-|morning	Agadir+Algeria+Algiers+Ashkenaz+Bavlim+Chabad+ChayeyOdom+Djerba+Fes+Frankfurt+Hagra+Libya+Lita+Magreb+Marrakesh+Morocco+Persia+PureSephardim+Romania+Sefard+Toshbim	haftarah	SamuelII:22:1:22:51
2019-10-12	EY|shabbos|Haazinu|-|morning	Baladi+Italki+Shami+Teiman	haftarah	Ezekiel:17:22:18:32
2019-10-12	EY|shabbos|Haazinu|-|morning	Poznan	haftarah	Hosea:14:2:14:10 Joel:2:15:2:27
2019-10-12	chul|shabbos|Haazinu|-|afternoon	ALL	haftarah	-
2019-10-12	chul|shabbos|Haazinu|-|afternoon	ALL	maftir	-
2019-10-12	chul|shabbos|Haazinu|-|afternoon	ALL	torah	1:Genesis:1:1:1:5 2:Genesis:1:6:1:8 3:Genesis:1:9:1:13
2019-10-12	chul|shabbos|Haazinu|-|morning	ALL	maftir	Deuteronomy:32:48:32:52
2019-10-12	chul|shabbos|Haazinu|-|morning	ALL	torah	1:Deuteronomy:32:1:32:6 2:Deuteronomy:32:7:32:12 3:Deuteronomy:32:13:32:18 4:Deuteronomy:32:19:32:28 5:Deuteronomy:32:29:32:39 6:Deuteronomy:32:40:32:43 7:Deuteronomy:32:44:32:52
2019-10-12	chul|shabbos|Haazinu|-|morning	Agadir+Algeria+Algiers+Ashkenaz+Bavlim+Chabad+ChayeyOdom+Djerba+Fes+Frankfurt+Hagra+Libya+Lita+Magreb+Marrakesh+Morocco+Persia+PureSephardim+Romania+Sefard+Toshbim	haftarah	SamuelII:22:1:22:51
2019-10-12	chul|shabbos|Haazinu|-|morning	Baladi+Italki+Shami+Teiman	haftarah	Ezekiel:17:22:18:32
2019-10-12	chul|shabbos|Haazinu|-|morning	Poznan	haftarah	Hosea:14:2:14:10 Joel:2:15:2:27
2019-10-14	EY|Monday|-|Succos1|morning	ALL	maftir	Numbers:29:12:29:16
2019-10-14	EY|Monday|-|Succos1|morning	ALL	torah	1:Leviticus:22:26:23:3 2:Leviticus:23:4:23:14 3:Leviticus:23:15:23:22 4:Leviticus:23:23:23:32 5:Leviticus:23:33:23:44
2019-10-14	EY|Monday|-|Succos1|morning	Agadir+Algeria+Algiers+Ashkenaz+Bavlim+Chabad+ChayeyOdom+Djerba+Fes+Frankfurt+Hagra+Italki+Libya+Lita+Magreb+Marrakesh+Morocco+Persia+Poznan+PureSephardim+Romania+Sefard+Toshbim	haftarah	Zechariah:14:1:14:21
2019-10-14	EY|Monday|-|Succos1|morning	Baladi+Shami+Teiman	haftarah	Zechariah:13:9:14:21
2019-10-14	chul|Monday|-|Succos1|morning	ALL	maftir	Numbers:29:12:29:16
2019-10-14	chul|Monday|-|Succos1|morning	ALL	torah	1:Leviticus:22:26:23:3 2:Leviticus:23:4:23:14 3:Leviticus:23:15:23:22 4:Leviticus:23:23:23:32 5:Leviticus:23:33:23:44
2019-10-14	chul|Monday|-|Succos1|morning	Agadir+Algeria+Algiers+Ashkenaz+Bavlim+Chabad+ChayeyOdom+Djerba+Fes+Frankfurt+Hagra+Italki+Libya+Lita+Magreb+Marrakesh+Morocco+Persia+Poznan+PureSephardim+Romania+Sefard+Toshbim	haftarah	Zechariah:14:1:14:21
2019-10-14	chul|Monday|-|Succos1|morning	Baladi+Shami+Teiman	haftarah	Zechariah:13:9:14:21
2019-10-15	EY|Tuesday|-|SuccosIntermediate1InHolyLand|morning	ALL	haftarah	-
2019-10-15	EY|Tuesday|-|SuccosIntermediate1InHolyLand|morning	ALL	maftir	-
2019-10-15	EY|Tuesday|-|SuccosIntermediate1InHolyLand|morning	Agadir+Algeria+Algiers+Baladi+Bavlim+Djerba+Fes+Libya+Magreb+Marrakesh+Morocco+Persia+PureSephardim+Sefard+Shami+Teiman+Toshbim	torah	1:Numbers:29:17:29:19 2:Numbers:29:17:29:19 3:Numbers:29:17:29:19 4:Numbers:29:17:29:19
2019-10-15	EY|Tuesday|-|SuccosIntermediate1InHolyLand|morning	Ashkenaz+Chabad+ChayeyOdom+Frankfurt+Hagra+Italki+Lita+Poznan+Romania	torah	1:Numbers:29:17:29:19 2:Numbers:29:20:29:22 3:Numbers:29:23:29:25 4:Numbers:29:17:29:19
2019-10-15	chul|Tuesday|-|Succos2|morning	ALL	maftir	Numbers:29:12:29:16
2019-10-15	chul|Tuesday|-|Succos2|morning	ALL	torah	1:Leviticus:22:26:23:3 2:Leviticus:23:4:23:14 3:Leviticus:23:15:23:22 4:Leviticus:23:23:23:32 5:Leviticus:23:33:23:44
2019-10-15	chul|Tuesday|-|Succos2|morning	Agadir+Algeria+Algiers+Ashkenaz+Bavlim+Chabad+ChayeyOdom+Djerba+Fes+Frankfurt+Hagra+Libya+Lita+Magreb+Marrakesh+Morocco+Persia+Poznan+PureSephardim+Romania+Sefard+Toshbim	haftarah	KingsI:8:2:8:21
2019-10-15	chul|Tuesday|-|Succos2|morning	Baladi+Shami+Teiman	haftarah	KingsI:7:51:8:21
2019-10-15	chul|Tuesday|-|Succos2|morning	Italki	haftarah	KingsI:7:51:8:15
2019-10-16	EY|Wednesday|-|SuccosIntermediate2InHolyLand|morning	ALL	haftarah	-
2019-10-16	EY|Wednesday|-|SuccosIntermediate2InHolyLand|morning	ALL	maftir	-
2019-10-16	EY|Wednesday|-|SuccosIntermediate2InHolyLand|morning	Agadir+Algeria+Algiers+Baladi+Bavlim+Djerba+Fes+Libya+Magreb+Marrakesh+Morocco+Persia+PureSephardim+Sefard+Shami+Teiman+Toshbim	torah	1:Numbers:29:20:29:22 2:Numbers:29:20:29:22 3:Numbers:29:20:29:22 4:Numbers:29:20:29:22
2019-10-16	EY|Wednesday|-|SuccosIntermediate2InHolyLand|morning	Ashkenaz+Chabad+ChayeyOdom+Frankfurt+Hagra+Italki+Lita+Poznan+Romania	torah	1:Numbers:29:20:29:22 2:Numbers:29:23:29:25 3:Numbers:29:26:29:28 4:Numbers:29:20:29:22
2019-10-16	chul|Wednesday|-|SuccosIntermediate1|morning	ALL	haftarah	-
2019-10-16	chul|Wednesday|-|SuccosIntermediate1|morning	ALL	maftir	-
2019-10-16	chul|Wednesday|-|SuccosIntermediate1|morning	Agadir+Algeria+Algiers+Baladi+Bavlim+Djerba+Fes+Libya+Magreb+Marrakesh+Morocco+Persia+PureSephardim+Sefard+Shami+Teiman+Toshbim	torah	1:Numbers:29:17:29:22 2:Numbers:29:17:29:22 3:Numbers:29:17:29:22 4:Numbers:29:17:29:22
2019-10-16	chul|Wednesday|-|SuccosIntermediate1|morning	Ashkenaz+Chabad+ChayeyOdom+Frankfurt+Hagra+Italki+Lita+Poznan+Romania	torah	1:Numbers:29:17:29:19 2:Numbers:29:20:29:22 3:Numbers:29:23:29:25 4:Numbers:29:17:29:22
2019-10-17	EY|Thursday|-|SuccosIntermediate3InHolyLand|morning	ALL	haftarah	-
2019-10-17	EY|Thursday|-|SuccosIntermediate3InHolyLand|morning	ALL	maftir	-
2019-10-17	EY|Thursday|-|SuccosIntermediate3InHolyLand|morning	Agadir+Algeria+Algiers+Baladi+Bavlim+Djerba+Fes+Libya+Magreb+Marrakesh+Morocco+Persia+PureSephardim+Sefard+Shami+Teiman+Toshbim	torah	1:Numbers:29:23:29:25 2:Numbers:29:23:29:25 3:Numbers:29:23:29:25 4:Numbers:29:23:29:25
2019-10-17	EY|Thursday|-|SuccosIntermediate3InHolyLand|morning	Ashkenaz+Chabad+ChayeyOdom+Frankfurt+Hagra+Italki+Lita+Poznan+Romania	torah	1:Numbers:29:23:29:25 2:Numbers:29:26:29:28 3:Numbers:29:29:29:31 4:Numbers:29:23:29:25
2019-10-17	chul|Thursday|-|SuccosIntermediate2|morning	ALL	haftarah	-
2019-10-17	chul|Thursday|-|SuccosIntermediate2|morning	ALL	maftir	-
2019-10-17	chul|Thursday|-|SuccosIntermediate2|morning	Agadir+Algeria+Algiers+Baladi+Bavlim+Djerba+Fes+Libya+Magreb+Marrakesh+Morocco+Persia+PureSephardim+Sefard+Shami+Teiman+Toshbim	torah	1:Numbers:29:20:29:25 2:Numbers:29:20:29:25 3:Numbers:29:20:29:25 4:Numbers:29:20:29:25
2019-10-17	chul|Thursday|-|SuccosIntermediate2|morning	Ashkenaz+Chabad+ChayeyOdom+Frankfurt+Hagra+Italki+Lita+Poznan+Romania	torah	1:Numbers:29:20:29:22 2:Numbers:29:23:29:25 3:Numbers:29:26:29:28 4:Numbers:29:20:29:25
2019-10-18	EY|Friday|-|SuccosIntermediate4InHolyLand|morning	ALL	haftarah	-
2019-10-18	EY|Friday|-|SuccosIntermediate4InHolyLand|morning	ALL	maftir	-
2019-10-18	EY|Friday|-|SuccosIntermediate4InHolyLand|morning	Agadir+Algeria+Algiers+Baladi+Bavlim+Djerba+Fes+Libya+Magreb+Marrakesh+Morocco+Persia+PureSephardim+Sefard+Shami+Teiman+Toshbim	torah	1:Numbers:29:26:29:28 2:Numbers:29:26:29:28 3:Numbers:29:26:29:28 4:Numbers:29:26:29:28
2019-10-18	EY|Friday|-|SuccosIntermediate4InHolyLand|morning	Ashkenaz+Chabad+ChayeyOdom+Frankfurt+Hagra+Italki+Lita+Poznan+Romania	torah	1:Numbers:29:26:29:28 2:Numbers:29:29:29:31 3:Numbers:29:32:29:34 4:Numbers:29:26:29:28
2019-10-18	chul|Friday|-|SuccosIntermediate3|morning	ALL	haftarah	-
2019-10-18	chul|Friday|-|SuccosIntermediate3|morning	ALL	maftir	-
2019-10-18	chul|Friday|-|SuccosIntermediate3|morning	Agadir+Algeria+Algiers+Baladi+Bavlim+Djerba+Fes+Libya+Magreb+Marrakesh+Morocco+Persia+PureSephardim+Sefard+Shami+Teiman+Toshbim	torah	1:Numbers:29:23:29:28 2:Numbers:29:23:29:28 3:Numbers:29:23:29:28 4:Numbers:29:23:29:28
2019-10-18	chul|Friday|-|SuccosIntermediate3|morning	Ashkenaz+Chabad+ChayeyOdom+Frankfurt+Hagra+Italki+Lita+Poznan+Romania	torah	1:Numbers:29:23:29:25 2:Numbers:29:26:29:28 3:Numbers:29:29:29:31 4:Numbers:29:23:29:28
2019-10-19	EY|shabbos|-|SuccosIntermediate5InHolyLand|afternoon	ALL	haftarah	-
2019-10-19	EY|shabbos|-|SuccosIntermediate5InHolyLand|afternoon	ALL	maftir	-
2019-10-19	EY|shabbos|-|SuccosIntermediate5InHolyLand|afternoon	ALL	torah	1:Genesis:1:1:1:5 2:Genesis:1:6:1:8 3:Genesis:1:9:1:13
2019-10-19	EY|shabbos|-|SuccosIntermediate5InHolyLand|morning	ALL	maftir	Numbers:29:29:29:31
2019-10-19	EY|shabbos|-|SuccosIntermediate5InHolyLand|morning	ALL	torah	1:Exodus:33:12:33:16 2:Exodus:33:17:33:19 3:Exodus:33:20:33:23 4:Exodus:34:1:34:3 5:Exodus:34:4:34:10 6:Exodus:34:11:34:17 7:Exodus:34:18:34:26
2019-10-19	EY|shabbos|-|SuccosIntermediate5InHolyLand|morning	Agadir+Algeria+Algiers+Ashkenaz+Bavlim+Chabad+ChayeyOdom+Djerba+Fes+Frankfurt+Hagra+Libya+Lita+Magreb+Marrakesh+Morocco+Persia+Poznan+PureSephardim+Romania+Sefard+Toshbim	haftarah	Ezekiel:38:18:39:16
2019-10-19	EY|shabbos|-|SuccosIntermediate5InHolyLand|morning	Baladi+Italki+Shami+Teiman	haftarah	Ezekiel:38:1:38:23
2019-10-19	chul|shabbos|-|SuccosIntermediate4|afternoon	ALL	haftarah	-
2019-10-19	chul|shabbos|-|SuccosIntermediate4|afternoon	ALL	maftir	-
2019-10-19	chul|shabbos|-|SuccosIntermediate4|afternoon	ALL	torah	1:Genesis:1:1:1:5 2:Genesis:1:6:1:8 3:Genesis:1:9:1:13
2019-10-19	chul|shabbos|-|SuccosIntermediate4|morning	ALL	maftir	Numbers:29:26:29:31
2019-10-19	chul|shabbos|-|SuccosIntermediate4|morning	ALL	torah	1:Exodus:33:12:33:16 2:Exodus:33:17:33:19 3:Exodus:33:20:33:23 4:Exodus:34:1:34:3 5:Exodus:34:4:34:10 6:Exodus:34:11:34:17 7:Exodus:34:18:34:26
2019-10-19	chul|shabbos|-|SuccosIntermediate4|morning	Agadir+Algeria+Algiers+Ashkenaz+Bavlim+Chabad+ChayeyOdom+Djerba+Fes+Frankfurt+Hagra+Libya+Lita+Magreb+Marrakesh+Morocco+Persia+Poznan+PureSephardim+Romania+Sefard+Toshbim	haftarah	Ezekiel:38:18:39:16
2019-10-19	chul|shabbos|-|SuccosIntermediate4|morning	Baladi+Italki+Shami+Teiman	haftarah	Ezekiel:38:1:38:23
2019-10-20	EY|Sunday|Bereishis|HoshanahRabbahInHolyLand|morning	ALL	haftarah	-
2019-10-20	EY|Sunday|Bereishis|HoshanahRabbahInHolyLand|morning	ALL	maftir	-
